web-scraper-order,web-scraper-start-url,published,published-href,authors,date,journal,title
"1647206416-369","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Meetings in Europa: State-of-the-art und Zukunftstrends.","https://www.alexandria.unisg.ch/213218/","Mayrhofer, David & Back, Andrea","null","Bulletin","E-Meetings in Europa: State-of-the-art und Zukunftstrends"
"1647206386-355","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","2005: Virtuelle Universitäten auf dem Vormarsch.","https://www.alexandria.unisg.ch/196947/","Schuh, G.; Back, Andrea; Friedli, T. & Seufert, Sabine","null","Thexis-Sonderheft Management Szenarien 2005","2005: Virtuelle Universitäten auf dem Vormarsch"
"1647206024-186","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Workplace E-Collaboration: Theoretical Foundations and Practical Implications.","https://www.alexandria.unisg.ch/213166/","Mayrhofer, David & Back, Andrea","null","null","Workplace E-Collaboration: Theoretical Foundations and Practical Implications"
"1647206049-198","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design.","https://www.alexandria.unisg.ch/226769/","Walter, Thomas & Back, Andrea","null","null","Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design"
"1647206249-291","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews.","https://www.alexandria.unisg.ch/214386/","Seidel, Gunter & Back, Andrea","null","null","Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews"
"1647206457-388","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Stille Revolution im Workplace Learning.","https://www.alexandria.unisg.ch/214355/","Back, Andrea","null","HR Today Special ""Personal Swiss 2011""","Stille Revolution im Workplace Learning"
"1647205725-52","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet.","https://www.alexandria.unisg.ch/66907/","Back, Andrea","null","null","Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet"
"1647206390-357","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Towards knowledge networking.","https://www.alexandria.unisg.ch/213591/","Seufert, Andreas; von Krogh, G. & Back, Andrea","null","Journal of Knowledge Management","Towards knowledge networking"
"1647206105-224","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern.","https://www.alexandria.unisg.ch/65875/","Back, Andrea","null","null","Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern"
"1647205994-172","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Perspective for our partners: New Ventures: important concepts and theories.","https://www.alexandria.unisg.ch/294/","Makarevitch, Alexei & Enkel, Ellen","2001","null","Perspective for our partners: New Ventures: important concepts and theories"
"1647206452-386","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen.","https://www.alexandria.unisg.ch/102531/","Wildi, Dennis; Back, Andrea & Gfeller, Reto","null","HMD : Praxis der Wirtschaftsinformatik","Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen"
"1647206052-199","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Critical Factors Influencing Innovation Diffusion on Corporate Websites.","https://www.alexandria.unisg.ch/231448/","Zollet, Roman & Back, Andrea","null","null","Critical Factors Influencing Innovation Diffusion on Corporate Websites"
"1647205936-145","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","„Die Kinder üben eine Denkhaltung“.","https://www.alexandria.unisg.ch/260035/","Back, Andrea & Grüttner, Arne","January 2020","Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter","„Die Kinder üben eine Denkhaltung“"
"1647205849-104","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?","https://www.alexandria.unisg.ch/67838/","Back, Andrea","null","null","Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?"
"1647206514-415","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Conceptual framework for collaborative open innovation with a startup ecosystem.","https://www.alexandria.unisg.ch/258570/","Peter, Lukas; Back, Andrea & Werro, Tina","null","Innovation in the Digital Economy","Conceptual framework for collaborative open innovation with a startup ecosystem"
"1647206373-349","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Universitäre Ausbildung anno 2005.","https://www.alexandria.unisg.ch/66707/","Back, Andrea","null","Thexis-Sonderheft Management Szenarien 2005","Universitäre Ausbildung anno 2005"
"1647205773-75","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Return on E-Learning Investment.","https://www.alexandria.unisg.ch/66882/","Back, Andrea","null","null","Return on E-Learning Investment"
"1647205733-56","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Vom Wissensmanagement zum Wissensnetzwerk.","https://www.alexandria.unisg.ch/213534/","Back, Andrea","null","null","Vom Wissensmanagement zum Wissensnetzwerk"
"1647206004-177","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.","https://www.alexandria.unisg.ch/67626/","Bursian, Olaf; Bendel, Oliver; Isler, A.; Martin, Gunnar; Leithner, Barbara; Keller, Miriam & Back, Andrea","null","null","Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich"
"1647206133-237","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","The Concept of Knowledge Networks for Growth.","https://www.alexandria.unisg.ch/255/","Enkel, Ellen; Back, Andrea & Vonkrogh, Georg","null","null","The Concept of Knowledge Networks for Growth"
"1647206296-313","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices.","https://www.alexandria.unisg.ch/238966/","Berghaus, Sabine & Back, Andrea","null","null","Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices"
"1647205825-93","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Einführung in das Thema.","https://www.alexandria.unisg.ch/197471/","Back, Andrea","null","null","Einführung in das Thema"
"1647206144-242","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning im Unternehmen.","https://www.alexandria.unisg.ch/67460/","Back, Andrea","null","null","E-Learning im Unternehmen"
"1647206108-225","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.","https://www.alexandria.unisg.ch/213161/","Back, Andrea & Leithner, Barbara","null","null","Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen"
"1647206234-284","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Success Factor Validation for Global ERP Programmes.","https://www.alexandria.unisg.ch/213715/","Seidel, Gunter & Back, Andrea","null","null","Success Factor Validation for Global ERP Programmes"
"1647206270-301","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel.","https://www.alexandria.unisg.ch/218408/","Friedel, Dominik & Back, Andrea","null","null","Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel"
"1647206112-227","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Outlook: Beyond organizational boundaries - Knowledge Networks for Growth.","https://www.alexandria.unisg.ch/261/","Enkel, Ellen","null","null","Outlook: Beyond organizational boundaries - Knowledge Networks for Growth"
"1647205998-174","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Perspective for our partners: Boundaries of the firm.","https://www.alexandria.unisg.ch/295/","Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos","2001","null","Perspective for our partners: Boundaries of the firm"
"1647206446-383","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Die Öffnung des Innovationsprozesses.","https://www.alexandria.unisg.ch/214353/","Back, Andrea","null","wirtschaftsmagazin","Die Öffnung des Innovationsprozesses"
"1647206021-185","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Potenziale pädagogischer Agenten.","https://www.alexandria.unisg.ch/213194/","Bendel, Oliver; Schnoering, Katharina & Back, Andrea","null","null","Potenziale pädagogischer Agenten"
"1647205706-43","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Podiumsdiskussion ""Deutschland - Entwicklerstandort oder Entwicklungsland?"", geleitet von Dr. H.-H. Kappel; weitere Mitwirkende Prof. Dr. H.-L. Grob, Prof. Dr. M. Zitterbart, F. Milius, Armin Hopp.","https://www.alexandria.unisg.ch/213629/","Back, Andrea","7 February 2002","null","Podiumsdiskussion ""Deutschland - Entwicklerstandort oder Entwicklungsland?"", geleitet von Dr. H.-H. Kappel; weitere Mitwirkende Prof. Dr. H.-L. Grob, Prof. Dr. M. Zitterbart, F. Milius, Armin Hopp."
"1647206530-421","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator.","https://www.alexandria.unisg.ch/264517/","Marheine, Christian; Engel, Christian & Back, Andrea","2021","MIS Quarterly Executive","How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator"
"1647206476-397","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Information security: Critical review and future directions for research.","https://www.alexandria.unisg.ch/232187/","Silic, Mario & Back, Andrea","null","Information Management & Computer Security","Information security: Critical review and future directions for research"
"1647205821-91","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Strategy Map und Scorecard für E-Learning Initiativen.","https://www.alexandria.unisg.ch/67254/","Back, Andrea","null","null","Strategy Map und Scorecard für E-Learning Initiativen"
"1647206307-318","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping.","https://www.alexandria.unisg.ch/241640/","Ruf, Christian; Back, Andrea & Weidenfeld, Henk Andreas","null","null","Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping"
"1647206512-414","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers.","https://www.alexandria.unisg.ch/258572/","Peter, Lukas; Back, Andrea & Werro, Tina","2019","null","Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers"
"1647206463-391","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Unternehmens-Wikis - wie ging das früher ohne?","https://www.alexandria.unisg.ch/214506/","Back, Andrea","null","IT-Business","Unternehmens-Wikis - wie ging das früher ohne?"
"1647206262-297","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Einsatzmöglichkeiten von Virtual Private Workspace.","https://www.alexandria.unisg.ch/216768/","Schoenenberg, Robin & Back, Andrea","null","null","Einsatzmöglichkeiten von Virtual Private Workspace"
"1647206182-260","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Collaboration Between Corporations and Startups: The Startup-Collaboration-Model.","https://www.alexandria.unisg.ch/258561/","Peter, Lukas; Back, Andrea & Werro, Tina","null","null","Collaboration Between Corporations and Startups: The Startup-Collaboration-Model"
"1647205651-17","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Kooperatives Lernen im Internet.","https://www.alexandria.unisg.ch/213414/","Back, Andrea","null","null","Kooperatives Lernen im Internet"
"1647205668-25","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Networks und Knowledge Management Technologien.","https://www.alexandria.unisg.ch/213377/","Back, Andrea","null","null","Knowledge Networks und Knowledge Management Technologien"
"1647205758-68","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Implementierung von Wissensmanagement-Systemen und -Netzwerken.","https://www.alexandria.unisg.ch/214305/","Back, Andrea","null","null","Implementierung von Wissensmanagement-Systemen und -Netzwerken"
"1647206199-268","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Networks for Business Growth.","https://www.alexandria.unisg.ch/300/","null","2006","null","Knowledge Networks for Business Growth"
"1647206523-418","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns.","https://www.alexandria.unisg.ch/260293/","Grüttner, Arne; Wambsganss, Thiemo & Back, Andrea","2020","null","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns"
"1647205697-39","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Basis-Workshop Wissensmanagement (WM).","https://www.alexandria.unisg.ch/66825/","Back, Andrea","null","null","Basis-Workshop Wissensmanagement (WM)"
"1647206180-259","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Employee acceptance and use of unified communications and collaboration in a cross-cultural environment.","https://www.alexandria.unisg.ch/254008/","Silic, Mario; Back, Andrea & Sammer, Thomas","null","null","Employee acceptance and use of unified communications and collaboration in a cross-cultural environment"
"1647205846-103","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.","https://www.alexandria.unisg.ch/214376/","Back, Andrea","null","null","Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung"
"1647206486-402","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Classifying systemic differences between Software as a Service- and On-Premise-Enterprise Resource Planning.","https://www.alexandria.unisg.ch/244524/","Link, Björn & Back, Andrea","null","Journal of Enterprise Information Management","Classifying systemic differences between Software as a Service- and On-Premise-Enterprise Resource Planning"
"1647205977-164","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Networks - A Tools Perspective.","https://www.alexandria.unisg.ch/197477/","Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.","null","null","Knowledge Networks - A Tools Perspective"
"1647205891-124","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Social Media im Unternehmenskontext und in der Arbeit.","https://www.alexandria.unisg.ch/214343/","Back, Andrea","null","null","Social Media im Unternehmenskontext und in der Arbeit"
"1647206148-244","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese.","https://www.alexandria.unisg.ch/213959/","Back, Andrea","null","null","Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese"
"1647205681-31","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum.","https://www.alexandria.unisg.ch/66903/","Back, Andrea","null","null","Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum"
"1647205752-65","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning Balanced Scorecard.","https://www.alexandria.unisg.ch/66841/","Back, Andrea","null","null","E-Learning Balanced Scorecard"
"1647206157-248","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace.","https://www.alexandria.unisg.ch/216607/","Back, Andrea; Fuellemann, Peter & Jastrowski, Wolfgang","null","null","Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace"
"1647206345-336","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".","https://www.alexandria.unisg.ch/213741/","Back, Andrea","null","Informatik/Informatique","Interview mit Mark C. Turrell: ""Groupware should be widely deployed"""
"1647205823-92","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Praxisberichte aus dem Competence Network Business 2.0.","https://www.alexandria.unisg.ch/67257/","Back, Andrea & Haentschel-erhart, Irene","null","null","Praxisberichte aus dem Competence Network Business 2.0"
"1647205887-122","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Do LMS have a Future? A conversation between criticism and defence of today's LMS.","https://www.alexandria.unisg.ch/102536/","Back, Andrea","23 March 2011","null","Do LMS have a Future? A conversation between criticism and defence of today's LMS"
"1647206356-341","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Teamorientierung im Management - Management Support goes Groupware. 4 Workshop des GI-Arbeitskreises 5.5.2 Management Support Systems (MSS).","https://www.alexandria.unisg.ch/213155/","Back, Andrea & Seufert, Andreas","null","Wirtschaftsinformatik","Teamorientierung im Management - Management Support goes Groupware. 4 Workshop des GI-Arbeitskreises 5.5.2 Management Support Systems (MSS)"
"1647205700-40","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.","https://www.alexandria.unisg.ch/66883/","Back, Andrea","null","null","RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS"
"1647205731-55","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Vorbereitungsgrad von Unternehmen für E-Learning.","https://www.alexandria.unisg.ch/214075/","Back, Andrea","null","null","Vorbereitungsgrad von Unternehmen für E-Learning"
"1647205877-117","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Online-Video im E-Learning von Unternehmen - Bedeutung, Fallbeispiele, Didaktik, Produktion sowie Distribution mit Social Media.","https://www.alexandria.unisg.ch/213177/","Back, Andrea","null","null","Online-Video im E-Learning von Unternehmen - Bedeutung, Fallbeispiele, Didaktik, Produktion sowie Distribution mit Social Media"
"1647205677-29","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Neue Aspekte des Informationsmanagements.","https://www.alexandria.unisg.ch/213398/","Back, Andrea","null","null","Neue Aspekte des Informationsmanagements"
"1647206339-333","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Ein Modell zur Kalkulation der Kosten je Absolvent.","https://www.alexandria.unisg.ch/196672/","Back, Andrea","null","ZfB-Sonderheft","Ein Modell zur Kalkulation der Kosten je Absolvent"
"1647205712-46","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen.","https://www.alexandria.unisg.ch/213831/","Back, Andrea","null","null","Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen"
"1647206146-243","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.","https://www.alexandria.unisg.ch/67823/","Back, Andrea","null","null","Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten"
"1647205913-134","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.","https://www.alexandria.unisg.ch/216775/","Back, Andrea","null","null","Tablet Books: Your Courses' Material in Harry Potter Newspaper Style"
"1647206290-310","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms.","https://www.alexandria.unisg.ch/232054/","Ruf, Christian & Back, Andrea","null","null","Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms"
"1647206123-232","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Supporting Growth through Innovation Networks in Unilever.","https://www.alexandria.unisg.ch/260/","Rumyantseva, Maria; Enkel, Ellen & Pos, A.","null","null","Supporting Growth through Innovation Networks in Unilever"
"1647206332-330","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Vorarbeiten für die Datenmodellierung am Beispiel zweier Industrieunternehmen : Automatisierte Dateninventur und elektronischer Begriffskatalog.","https://www.alexandria.unisg.ch/213572/","Back, Andrea","null","Wirtschaftsinformatik 36","Vorarbeiten für die Datenmodellierung am Beispiel zweier Industrieunternehmen : Automatisierte Dateninventur und elektronischer Begriffskatalog"
"1647205687-34","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement in KMU.","https://www.alexandria.unisg.ch/213576/","Back, Andrea","null","null","Wissensmanagement in KMU"
"1647205787-82","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Impulsvortrag ""Persönliche Wissensarbeit"".","https://www.alexandria.unisg.ch/66942/","Back, Andrea","null","null","Impulsvortrag ""Persönliche Wissensarbeit"""
"1647206394-359","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Michael Cusumano :Interview.","https://www.alexandria.unisg.ch/196684/","Back, Andrea","null","Wirtschaftsinformatik","Michael Cusumano :Interview"
"1647206191-264","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning: Ein Wörterbuch.","https://www.alexandria.unisg.ch/214275/","Back, Andrea; Bendel, Oliver & Stoller-Schai, Daniel","2002","null","E-Learning: Ein Wörterbuch"
"1647206225-280","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.","https://www.alexandria.unisg.ch/65955/","Back, Andrea","null","null","Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser"
"1647205951-152","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wie packen Unternehmen die Digitale Transformation an? (Teil 1).","https://www.alexandria.unisg.ch/247311/","Berghaus, Sabine & Back, Andrea","null","null","Wie packen Unternehmen die Digitale Transformation an? (Teil 1)"
"1647206274-303","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.","https://www.alexandria.unisg.ch/223688/","Silic, Mario & Back, Andrea","null","null","Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations"
"1647205938-146","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer.","https://www.alexandria.unisg.ch/260243/","Grüttner, Arne & Back, Andrea","May 2020","bildung+ schule digital","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer"
"1647206405-364","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Informations- und Kommunikationsdienste für Wissensnetzwerke.","https://www.alexandria.unisg.ch/197065/","Raimann, Joerg & Back, Andrea","null","wisu das wirtschaftsstudium","Informations- und Kommunikationsdienste für Wissensnetzwerke"
"1647205889-123","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0.","https://www.alexandria.unisg.ch/102534/","Back, Andrea","null","null","Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0"
"1647206285-308","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?","https://www.alexandria.unisg.ch/226174/","Fiechter, Daniel; Sammer, Thomas & Back, Andrea","null","null","Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?"
"1647206442-381","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Disruptiv innovieren in E-Learning und Kommunikation.","https://www.alexandria.unisg.ch/67619/","Back, Andrea","null","Netzwoche","Disruptiv innovieren in E-Learning und Kommunikation"
"1647205783-80","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","HSG Business Engineering Research Program.","https://www.alexandria.unisg.ch/214010/","Back, Andrea","null","null","HSG Business Engineering Research Program"
"1647205917-136","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Teamarbeit 2.0: Global - zeitgemäss - kompetent.","https://www.alexandria.unisg.ch/216811/","Back, Andrea","null","null","Teamarbeit 2.0: Global - zeitgemäss - kompetent"
"1647205637-10","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Collaborative Learning in Action: Management Education at the University of St. Gallen.","https://www.alexandria.unisg.ch/6814/","Back, Andrea; Seufert, Sabine & Seufert, Andreas","null","null","Collaborative Learning in Action: Management Education at the University of St. Gallen"
"1647205921-138","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Teamarbeit 2.0: Global - zeitgemäss - kompetent.","https://www.alexandria.unisg.ch/216813/","Back, Andrea","null","null","Teamarbeit 2.0: Global - zeitgemäss - kompetent"
"1647206525-419","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?","https://www.alexandria.unisg.ch/260201/","Lötscher, Julia & Back, Andrea","null","Wirtschaftsinformatik & Management","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?"
"1647205855-107","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way.","https://www.alexandria.unisg.ch/213366/","Back, Andrea","null","null","Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way"
"1647205870-114","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Web-Video zur Wissenskommunikation.","https://www.alexandria.unisg.ch/68834/","Back, Andrea","null","null","Web-Video zur Wissenskommunikation"
"1647206090-217","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen.","https://www.alexandria.unisg.ch/264/","Enkel, Ellen & Back, Andrea","2002","null","Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen"
"1647205748-63","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard.","https://www.alexandria.unisg.ch/66873/","Back, Andrea","null","null","Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard"
"1647205904-130","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.","https://www.alexandria.unisg.ch/216764/","Back, Andrea","null","null","Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0."
"1647205769-73","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Einführung.","https://www.alexandria.unisg.ch/213501/","Back, Andrea","null","null","Einführung"
