web-scraper-order;web-scraper-start-url;linkto;linkto-href;Autor;Title;;;;;;;;;;;;;;;;;;;
1647211513-5763;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms.;https://www.alexandria.unisg.ch/232054/;Ruf, Christian & Back, Andrea;Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms;;;;;;;;;;;;;;;;;;;
1647211130-5491;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media im Unternehmenskontext und in der Arbeit.;https://www.alexandria.unisg.ch/214343/;Back, Andrea;Social Media im Unternehmenskontext und in der Arbeit;;;;;;;;;;;;;;;;;;;
1647210976-5348;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement IKT-Systeme und -Tools.;https://www.alexandria.unisg.ch/213562/;;Wissensmanagement IKT-Systeme und -Tools;;;;;;;;;;;;;;;;;;;
1647211443-5715;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Chief-Learning-Officer-Projektagenda 200x.;https://www.alexandria.unisg.ch/213774/;Back, Andrea;Chief-Learning-Officer-Projektagenda 200x;;;;;;;;;;;;;;;;;;;
1647211084-5452;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".";https://www.alexandria.unisg.ch/213661/;Back, Andrea;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?""";;;;;;;;;;;;;;;;;;;
1647211274-5613;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Current State Analysis and Identification of Opportunities in Roche's Sales Force Training.;https://www.alexandria.unisg.ch/214103/;;Current State Analysis and Identification of Opportunities in Roche's Sales Force Training;;;;;;;;;;;;;;;;;;;
1647210900-5276;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Learning Communities im Inter-/Intranet.;https://www.alexandria.unisg.ch/213892/;;Learning Communities im Inter-/Intranet;;;;;;;;;;;;;;;;;;;
1647211082-5451;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;The Emergence and Impact of Web 2.0.;https://www.alexandria.unisg.ch/67612/;;The Emergence and Impact of Web 2.0;;;;;;;;;;;;;;;;;;;
1647211560-5794;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Ein Modell zur Kalkulation der Kosten je Absolvent.;https://www.alexandria.unisg.ch/196672/;Back, Andrea;Ein Modell zur Kalkulation der Kosten je Absolvent;;;;;;;;;;;;;;;;;;;
1647211071-5441;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen.;https://www.alexandria.unisg.ch/214073/;Back, Andrea;Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen;;;;;;;;;;;;;;;;;;;
1647211047-5418;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein.;https://www.alexandria.unisg.ch/213932/;;eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein;;;;;;;;;;;;;;;;;;;
1647211031-5401;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Return on E-Learning Investment.;https://www.alexandria.unisg.ch/66882/;Back, Andrea;Return on E-Learning Investment;;;;;;;;;;;;;;;;;;;
1647211539-5778;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches.;https://www.alexandria.unisg.ch/254097/;;Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches;;;;;;;;;;;;;;;;;;;
1647210921-5295;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement.;https://www.alexandria.unisg.ch/213156/;Back, Andrea;Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement;;;;;;;;;;;;;;;;;;;
1647211098-5465;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz).;https://www.alexandria.unisg.ch/214167/;Back, Andrea;Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz);;;;;;;;;;;;;;;;;;;
1647211088-5455;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.;https://www.alexandria.unisg.ch/214376/;Back, Andrea;Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung;;;;;;;;;;;;;;;;;;;
1647211168-5522;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Aktuelle Trends in Enterprise Mobility.;https://www.alexandria.unisg.ch/220095/;Sammer, Thomas & Back, Andrea;Aktuelle Trends in Enterprise Mobility;;;;;;;;;;;;;;;;;;;
1647211225-5572;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Performance Measurement of Communities of Practice.;https://www.alexandria.unisg.ch/213234/;;Performance Measurement of Communities of Practice;;;;;;;;;;;;;;;;;;;
1647211166-5520;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";https://www.alexandria.unisg.ch/196668/;Back, Andrea;"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";;;;;;;;;;;;;;;;;;;
1647211201-5549;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category.;https://www.alexandria.unisg.ch/196967/;;Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category;;;;;;;;;;;;;;;;;;;
1647211049-5420;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Trends im E-Learning - Chancen, die es zu nutzen gilt.;https://www.alexandria.unisg.ch/213753/;;Trends im E-Learning - Chancen, die es zu nutzen gilt;;;;;;;;;;;;;;;;;;;
1647211329-5646;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning und Wissensmanagement zusammenführen.;https://www.alexandria.unisg.ch/214323/;Back, Andrea;E-Learning und Wissensmanagement zusammenführen;;;;;;;;;;;;;;;;;;;
1647211174-5528;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Die Welt wird digital.;https://www.alexandria.unisg.ch/248986/;Back, Andrea;Die Welt wird digital;;;;;;;;;;;;;;;;;;;
1647211193-5543;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2).;https://www.alexandria.unisg.ch/248725/;Berghaus, Sabine & Back, Andrea;Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2);;;;;;;;;;;;;;;;;;;
1647211304-5631;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Executive Information Systems.;https://www.alexandria.unisg.ch/213206/;Back, Andrea;;;;;;;;;;;;;;;;;;;;
1647210974-5345;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement und -Tools.;https://www.alexandria.unisg.ch/196897/;Back, Andrea;Wissensmanagement und -Tools;;;;;;;;;;;;;;;;;;;
1647211102-5468;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Videobasiertes E-Learning auf dem Siegeszug 2.0.;https://www.alexandria.unisg.ch/197461/;Back, Andrea;Videobasiertes E-Learning auf dem Siegeszug 2.0;;;;;;;;;;;;;;;;;;;
1647211122-5484;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media Update: Objectives and Trends.;https://www.alexandria.unisg.ch/214342/;Back, Andrea;Social Media Update: Objectives and Trends;;;;;;;;;;;;;;;;;;;
1647211406-5695;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.;https://www.alexandria.unisg.ch/248640/;;Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation;;;;;;;;;;;;;;;;;;;
1647211020-5392;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Paving the Way to Corporate e-Learning Adoption and Sustainability.;https://www.alexandria.unisg.ch/66878/;;Paving the Way to Corporate e-Learning Adoption and Sustainability;;;;;;;;;;;;;;;;;;;
1647211428-5708;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Getting real about knowledge networks : unlocking corporate knowledge assets.;https://www.alexandria.unisg.ch/213997/;;Getting real about knowledge networks : unlocking corporate knowledge assets;;;;;;;;;;;;;;;;;;;
1647211079-5449;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger.;https://www.alexandria.unisg.ch/67844/;;Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger;;;;;;;;;;;;;;;;;;;
1647211039-5409;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/66842/;Back, Andrea;E-Learning im Unternehmen;;;;;;;;;;;;;;;;;;;
1647211382-5682;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissens-Wiki im IT-Betrieb und Notfall-Management bei der SFS services AG.;https://www.alexandria.unisg.ch/216601/;Cervellieri, Adrian;;;;;;;;;;;;;;;;;;;;
1647211455-5722;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Management in Challenging Settings - A Case of Military Aircraft.;https://www.alexandria.unisg.ch/213119/;Mayrhofer, David;;;;;;;;;;;;;;;;;;;;
1647211108-5474;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/197456/;Back, Andrea;Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis;;;;;;;;;;;;;;;;;;;
1647211410-5697;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Collaboration Between Corporations and Startups: The Startup-Collaboration-Model.;https://www.alexandria.unisg.ch/258561/;Peter, Lukas;;;;;;;;;;;;;;;;;;;;
1647211533-5774;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious;;;;;;;;;;;;;;;;;;;;;;
"Software Use.""";https://www.alexandria.unisg.ch/250195/;Silic, Mario & Back, Andrea;;;;;;;;;;;;;;;;;;;;;;
"Software Use""";;;;;;;;;;;;;;;;;;;;;;;;
1647211211-5558;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Towards a Reference Model for Knowledge Networking.;https://www.alexandria.unisg.ch/66692/;Seufert, Andreas;;;;;;;;;;;;;;;;;;;;
1647211564-5798;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Kanzleiinformationssystem.;https://www.alexandria.unisg.ch/213561/;Back, Andrea & Seufert, Andreas;Kanzleiinformationssystem;;;;;;;;;;;;;;;;;;;
1647211010-5381;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning Balanced Scorecard.;https://www.alexandria.unisg.ch/66841/;Back, Andrea;E-Learning Balanced Scorecard;;;;;;;;;;;;;;;;;;;
1647211296-5626;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Implementierung und Nutzung der Prozesskostenrechnung.;https://www.alexandria.unisg.ch/214286/;Back, Andrea;Implementierung und Nutzung der Prozesskostenrechnung;;;;;;;;;;;;;;;;;;;
1647210913-5288;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Kooperatives Lernen im Internet.;https://www.alexandria.unisg.ch/213414/;;Kooperatives Lernen im Internet;;;;;;;;;;;;;;;;;;;
1647211207-5554;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;The Influence of Human Networks and Human Value Systems on Knowledge Sharing/Transfer Projects.;https://www.alexandria.unisg.ch/66704/;Koehne, Marija;;;;;;;;;;;;;;;;;;;;
1647210937-5311;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Neue Aspekte des Informationsmanagements.;https://www.alexandria.unisg.ch/213398/;Back, Andrea;Neue Aspekte des Informationsmanagements;;;;;;;;;;;;;;;;;;;
1647211245-5589;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen.;https://www.alexandria.unisg.ch/213511/;;Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen;;;;;;;;;;;;;;;;;;;
1647211467-5732;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds.;https://www.alexandria.unisg.ch/69069/;Walter, Thomas & Back, Andrea;Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds;;;;;;;;;;;;;;;;;;;
1647211556-5788;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Umsetzung objektorientierter Konstrukte im internen Rechnungswesen.;https://www.alexandria.unisg.ch/213469/;Back, Andrea;Umsetzung objektorientierter Konstrukte im internen Rechnungswesen;;;;;;;;;;;;;;;;;;;
1647211525-5770;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.;https://www.alexandria.unisg.ch/241639/;;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering;;;;;;;;;;;;;;;;;;;
1647211221-5567;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option.;https://www.alexandria.unisg.ch/66959/;Vassiliadis, Stefanos;;;;;;;;;;;;;;;;;;;;
1647210959-5333;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.";https://www.alexandria.unisg.ch/66883/;Back, Andrea;"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS";;;;;;;;;;;;;;;;;;;
1647211380-5681;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;https://www.alexandria.unisg.ch/214092/;Heidecke, Florian & Back, Andrea;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies;;;;;;;;;;;;;;;;;;;
1647211000-5372;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Die Rolle des CLO.;https://www.alexandria.unisg.ch/213651/;;Die Rolle des CLO;;;;;;;;;;;;;;;;;;;
1647211497-5753;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.;https://www.alexandria.unisg.ch/223688/;Silic, Mario & Back, Andrea;Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations;;;;;;;;;;;;;;;;;;;
1647211243-5587;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse.;https://www.alexandria.unisg.ch/67628/;;Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse;;;;;;;;;;;;;;;;;;;
1647211310-5636;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Virtual Reality.;https://www.alexandria.unisg.ch/66700/;;Virtual Reality;;;;;;;;;;;;;;;;;;;
1647211035-5406;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen am Puls der Zeit gestalten.;https://www.alexandria.unisg.ch/213149/;;Lernen am Puls der Zeit gestalten;;;;;;;;;;;;;;;;;;;
1647210959-5334;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.";https://www.alexandria.unisg.ch/66883/;;"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS";;;;;;;;;;;;;;;;;;;
1647210906-5281;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Groupware im Kontext problemorientierter Computing Workspaces.;https://www.alexandria.unisg.ch/66861/;Back, Andrea;Groupware im Kontext problemorientierter Computing Workspaces;;;;;;;;;;;;;;;;;;;
1647211306-5632;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.;https://www.alexandria.unisg.ch/213768/;Back, Andrea;;;;;;;;;;;;;;;;;;;;
1647210972-5343;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen.;https://www.alexandria.unisg.ch/213831/;Back, Andrea;Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen;;;;;;;;;;;;;;;;;;;
1647211388-5685;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Das mobile Web 2.0 im Unternehmen.;https://www.alexandria.unisg.ch/216609/;Sammer, Thomas & Walter, Thomas;Das mobile Web 2.0 im Unternehmen;;;;;;;;;;;;;;;;;;;
1647211412-5698;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lexikon der Wirtschaftsinformatik.;https://www.alexandria.unisg.ch/213208/;;Lexikon der Wirtschaftsinformatik;;;;;;;;;;;;;;;;;;;
1647211140-5498;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media in Universities.;https://www.alexandria.unisg.ch/146667/;;Social Media in Universities;;;;;;;;;;;;;;;;;;;
1647211511-5762;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Mobile Contactless Payments Adoption Challenge in the Complex Network Actor Ecosystem.;https://www.alexandria.unisg.ch/232050/;Silic, Mario;;;;;;;;;;;;;;;;;;;;
1647211031-5402;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Return on E-Learning Investment.;https://www.alexandria.unisg.ch/66882/;;Return on E-Learning Investment;;;;;;;;;;;;;;;;;;;
1647210963-5337;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.;https://www.alexandria.unisg.ch/66857/;;eLearning im Unternehmen: Lessons Learned und Erfahrungslücken;;;;;;;;;;;;;;;;;;;
1647211233-5578;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Perspective for our partners: Innovation, Knowledge creation, Customer Integration and Launching new Ventures.;https://www.alexandria.unisg.ch/296/;Enkel, Ellen;;;;;;;;;;;;;;;;;;;;
1647211215-5561;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Networks - A Tools Perspective.;https://www.alexandria.unisg.ch/197477/;Raimann, Joerg;;;;;;;;;;;;;;;;;;;;
1647211012-5384;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning industry updates & recommendations.;https://www.alexandria.unisg.ch/66844/;;E-Learning industry updates & recommendations;;;;;;;;;;;;;;;;;;;
1647210955-5330;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;e-Welt: Wissensmanagement.;https://www.alexandria.unisg.ch/66851/;;e-Welt: Wissensmanagement;;;;;;;;;;;;;;;;;;;
1647211349-5659;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;The customer - an untapped source of innovations. Developing a Customer Integration Network in HP.;https://www.alexandria.unisg.ch/257/;Gurgul, Grzegorz;;;;;;;;;;;;;;;;;;;;
1647211300-5628;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung.;https://www.alexandria.unisg.ch/196704/;Österle, Hubert & Back, Andrea;Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung;;;;;;;;;;;;;;;;;;;
1647211162-5518;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Teamarbeit 2.0: Global - zeitgemäss - kompetent.;https://www.alexandria.unisg.ch/216813/;;Teamarbeit 2.0: Global - zeitgemäss - kompetent;;;;;;;;;;;;;;;;;;;
1647211471-5735;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH.;https://www.alexandria.unisg.ch/71770/;;Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH;;;;;;;;;;;;;;;;;;;
1647210945-5319;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eLearning als Herausforderung für die Personal- und Organisationsentwicklung.;https://www.alexandria.unisg.ch/214097/;Back, Andrea;eLearning als Herausforderung für die Personal- und Organisationsentwicklung;;;;;;;;;;;;;;;;;;;
1647210969-5341;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement.;https://www.alexandria.unisg.ch/213927/;Back, Andrea;Wissensmanagement;;;;;;;;;;;;;;;;;;;
1647211430-5709;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software.;https://www.alexandria.unisg.ch/46001/;;Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software;;;;;;;;;;;;;;;;;;;
1647211051-5422;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.;https://www.alexandria.unisg.ch/214375/;;Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen;;;;;;;;;;;;;;;;;;;
1647210935-5309;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.;https://www.alexandria.unisg.ch/66840/;Back, Andrea;E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele;;;;;;;;;;;;;;;;;;;
1647210951-5326;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning.;https://www.alexandria.unisg.ch/66848/;;E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning;;;;;;;;;;;;;;;;;;;
1647210911-5285;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Szenario Bildungslandschaft 2005.;https://www.alexandria.unisg.ch/213701/;Back, Andrea;Szenario Bildungslandschaft 2005;;;;;;;;;;;;;;;;;;;
1647211290-5623;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?;https://www.alexandria.unisg.ch/250003/;Josef, Barbara & Back, Andrea;Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?;;;;;;;;;;;;;;;;;;;
1647211400-5691;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik.;https://www.alexandria.unisg.ch/231831/;Back, Andrea;Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik;;;;;;;;;;;;;;;;;;;
1647211323-5643;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen.;https://www.alexandria.unisg.ch/264/;Enkel, Ellen & Back, Andrea;Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen;;;;;;;;;;;;;;;;;;;
1647210919-5294;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Networking: Von der Vision zum Business Case.;https://www.alexandria.unisg.ch/213548/;;Knowledge Networking: Von der Vision zum Business Case;;;;;;;;;;;;;;;;;;;
1647210947-5322;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement in KMU.;https://www.alexandria.unisg.ch/213576/;;Wissensmanagement in KMU;;;;;;;;;;;;;;;;;;;
1647211010-5382;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning Balanced Scorecard.;https://www.alexandria.unisg.ch/66841/;;E-Learning Balanced Scorecard;;;;;;;;;;;;;;;;;;;
1647211004-5375;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse.;https://www.alexandria.unisg.ch/213711/;Back, Andrea;St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse;;;;;;;;;;;;;;;;;;;
1647211055-5426;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit.;https://www.alexandria.unisg.ch/214022/;;eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit;;;;;;;;;;;;;;;;;;;
1647211390-5686;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.;https://www.alexandria.unisg.ch/216600/;Friedel, Dominik & Back, Andrea;Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel;;;;;;;;;;;;;;;;;;;
1647211314-5639;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Executive Information System (EIS).;https://www.alexandria.unisg.ch/196825/;Back, Andrea & Seufert, Andreas;Executive Information System (EIS);;;;;;;;;;;;;;;;;;;
1647211353-5663;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Supporting Growth through Innovation Networks in Unilever.;https://www.alexandria.unisg.ch/260/;Rumyantseva, Maria;;;;;;;;;;;;;;;;;;;;
1647211451-5719;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.;https://www.alexandria.unisg.ch/65955/;Back, Andrea;Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser;;;;;;;;;;;;;;;;;;;
